dataset_name,estimator_name,repetition,split,accuracy,f1_macro,precision_macro,recall_macro
d0_speeddating,e0_ExtraTreesClassifier,r0,train,1.0,1.0,1.0,1.0
d0_speeddating,e0_ExtraTreesClassifier,r0,test0,0.975,0.9502957403449476,0.9855491329479769,0.921875
d0_speeddating,e0_ExtraTreesClassifier,r0,test1,0.98,0.9618247757205574,0.9883040935672515,0.9393939393939394
d0_speeddating,e0_ExtraTreesClassifier,r1,train,1.0,1.0,1.0,1.0
d0_speeddating,e0_ExtraTreesClassifier,r1,test0,0.96,0.9193385763258721,0.9771428571428571,0.8787878787878788
d0_speeddating,e0_ExtraTreesClassifier,r1,test1,0.96,0.9169435215946844,0.9772727272727273,0.875
d0_speeddating,e1_RandomForestClassifier,r0,train,1.0,1.0,1.0,1.0
d0_speeddating,e1_RandomForestClassifier,r0,test0,0.935,0.8539243777740323,0.9640883977900552,0.796875
d0_speeddating,e1_RandomForestClassifier,r0,test1,0.97,0.9411764705882353,0.9826589595375723,0.9090909090909092
d0_speeddating,e1_RandomForestClassifier,r1,train,1.0,1.0,1.0,1.0
d0_speeddating,e1_RandomForestClassifier,r1,test0,0.91,0.7869318181818181,0.9513513513513514,0.7272727272727273
d0_speeddating,e1_RandomForestClassifier,r1,test1,0.93,0.8400000000000001,0.9615384615384616,0.78125
d0_speeddating,e2_DecisionTreeClassifier,r0,train,1.0,1.0,1.0,1.0
d0_speeddating,e2_DecisionTreeClassifier,r0,test0,1.0,1.0,1.0,1.0
d0_speeddating,e2_DecisionTreeClassifier,r0,test1,1.0,1.0,1.0,1.0
d0_speeddating,e2_DecisionTreeClassifier,r1,train,1.0,1.0,1.0,1.0
d0_speeddating,e2_DecisionTreeClassifier,r1,test0,1.0,1.0,1.0,1.0
d0_speeddating,e2_DecisionTreeClassifier,r1,test1,1.0,1.0,1.0,1.0
d0_speeddating,e3_AdaBoostClassifier,r0,train,1.0,1.0,1.0,1.0
d0_speeddating,e3_AdaBoostClassifier,r0,test0,1.0,1.0,1.0,1.0
d0_speeddating,e3_AdaBoostClassifier,r0,test1,1.0,1.0,1.0,1.0
d0_speeddating,e3_AdaBoostClassifier,r1,train,1.0,1.0,1.0,1.0
d0_speeddating,e3_AdaBoostClassifier,r1,test0,1.0,1.0,1.0,1.0
d0_speeddating,e3_AdaBoostClassifier,r1,test1,1.0,1.0,1.0,1.0
d0_speeddating,e4_GaussianNB,r0,train,0.9983333333333333,0.9969128020951783,0.9990079365079365,0.9948453608247423
d0_speeddating,e4_GaussianNB,r0,test0,0.995,0.9905798125382694,0.9970414201183432,0.984375
d0_speeddating,e4_GaussianNB,r0,test1,0.99,0.9813988095238095,0.9940828402366864,0.9696969696969697
d0_speeddating,e4_GaussianNB,r1,train,0.9966666666666667,0.9937996031746031,0.998019801980198,0.9896907216494846
d0_speeddating,e4_GaussianNB,r1,test0,0.97,0.9411764705882353,0.9826589595375723,0.9090909090909092
d0_speeddating,e4_GaussianNB,r1,test1,0.995,0.9905798125382694,0.9970414201183432,0.984375
d0_speeddating,e5_KNeighborsClassifier,r0,train,0.8583333333333333,0.6150100776773784,0.7974403645135353,0.5909798938328791
d0_speeddating,e5_KNeighborsClassifier,r0,test0,0.805,0.4918897791674809,0.5115440115440115,0.5044642857142857
d0_speeddating,e5_KNeighborsClassifier,r0,test1,0.835,0.5868544600938967,0.6781914893617021,0.5729450190528035
d0_speeddating,e5_KNeighborsClassifier,r1,train,0.8533333333333334,0.6397281585196102,0.7404773332169816,0.612961406816831
d0_speeddating,e5_KNeighborsClassifier,r1,test0,0.825,0.5028055969884225,0.5867697594501718,0.5183269823988387
d0_speeddating,e5_KNeighborsClassifier,r1,test1,0.82,0.49999999999999994,0.546875,0.5133928571428572
d0_speeddating,e6_SVC,r0,train,0.995,0.990659976442385,0.9970355731225297,0.9845360824742269
d0_speeddating,e6_SVC,r0,test0,0.84,0.4565217391304348,0.42,0.5
d0_speeddating,e6_SVC,r0,test1,0.835,0.4550408719346049,0.4175,0.5
d0_speeddating,e6_SVC,r1,train,0.9966666666666667,0.9937996031746031,0.998019801980198,0.9896907216494846
d0_speeddating,e6_SVC,r1,test0,0.835,0.4550408719346049,0.4175,0.5
d0_speeddating,e6_SVC,r1,test1,0.84,0.4565217391304348,0.42,0.5
d0_speeddating,e7_GaussianProcessClassifier,r0,train,1.0,1.0,1.0,1.0
d0_speeddating,e7_GaussianProcessClassifier,r0,test0,0.725,0.557717823971694,0.5544802867383513,0.5706845238095238
d0_speeddating,e7_GaussianProcessClassifier,r0,test1,0.79,0.6517990383021057,0.6416628317226569,0.6675739430230448
d0_speeddating,e7_GaussianProcessClassifier,r1,train,1.0,1.0,1.0,1.0
